image_id,num_plants,total_plant_area,total_pitting_area,total_hole_area,total_pitting_count,total_hole_count
20251021_124417,4,45361.0,0.0,0.0,0,0
20251021_154331,6,31566.0,0.0,0.0,0,0
20251021_160738,3,18799.0,0.0,0.0,0,0
20251021_161101,6,43661.0,0.0,0.0,0,0
20251021_161150,8,39335.0,0.0,0.0,0,0
20251021_160632,9,121175.0,231.0,0.0,5,0
20251021_160615,6,54619.0,0.0,0.0,0,0
20251021_154700,5,23573.0,27.0,0.0,2,0
20251021_154614,6,22841.0,0.0,0.0,0,0
20251021_124201,8,103051.0,61.0,7.0,3,1
20251021_125752,7,54801.0,83.5,45.0,9,2
20251021_151613,5,27848.0,56.0,0.0,1,0
20251021_160133,5,27652.0,49.5,0.0,1,0
20251021_131728,5,27872.0,40.5,0.0,3,0
20251021_160221,6,33714.0,217.5,0.0,12,0
20251021_122655,5,27285.0,25.0,20.0,2,1
20251021_130153,6,41553.0,19.0,0.0,3,0
20251021_154210,5,34945.0,526.0,0.0,11,0
20251021_155541,7,56319.0,211.0,0.0,7,0
20251021_121525,4,29726.0,19.0,47.0,1,1
20251021_121253,4,16675.0,85.0,6.0,3,1
20251021_130115,6,21993.0,46.0,0.0,2,0
20251021_155359,9,108798.0,58.5,0.0,3,0
20251021_162246,8,61792.0,100.5,0.0,5,0
20251021_161615,6,78748.0,431.5,0.0,16,0
20251021_125215,7,39759.0,89.5,0.0,3,0
20251021_122445,7,44708.0,88.0,12.0,6,2
20251021_123237,11,63452.0,143.0,0.0,11,0
20251021_162630,4,21598.0,111.0,0.0,3,0
20251021_124947,11,147449.0,252.5,17.0,11,2
