epoch,train_loss,train_mae,val_loss,val_mae,lr,time_sec
1,6.829357836891242,5.675992596839706,6.095651308695476,6.589847651394931,0.001,1832.2342431545258
2,4.287230166177529,3.8704956818677885,5.386788574132052,5.8575608513572,0.001,1699.9323389530182
3,3.5680065409317425,3.356319081996179,6.086917096918279,6.573608774127382,0.001,1642.3636677265167
4,3.158461302705045,3.0598837410101134,5.927128228274259,6.413039048512776,0.001,1691.9380979537964
5,2.7003449467073337,2.7226564465806753,6.323565020705715,6.798236984195131,0.001,1705.5370841026306
6,2.4761626346385643,2.5550385724426743,5.993728601571285,6.483516310200547,0.001,1759.0318357944489
7,2.182828934069384,2.328470396468905,5.812617865475741,6.277905276327422,0.001,1650.4894654750824
8,2.1821867908607837,2.319991986234418,5.355862509120595,5.801548618258852,0.001,1702.3892798423767
9,1.9673738898579753,2.145691342658075,5.732769402590665,6.198144898270115,0.001,1716.8997049331665
10,1.9036437945868618,2.1005753236448688,5.7114793893062705,6.186689405730276,0.001,1745.206420660019
11,1.8528721232734922,2.052591446492607,5.464820673971465,5.936603705088298,0.001,1668.182166814804
12,1.8717293016099013,2.0688986090226913,5.765643448540659,6.248698379054214,0.001,1799.2822082042694
13,1.8580948505034722,2.054914116888759,5.646535526622426,6.115422855723988,0.001,1742.6389093399048
14,1.7501017834683144,1.9747502860923487,5.844368096553918,6.3175914359815195,0.001,1700.1621661186218
15,1.5090907649493766,1.773128269308344,5.746753905758713,6.2214030497001875,0.0005,1690.0389835834503
16,1.4470317565832393,1.719476568509457,5.808546456423673,6.287033875783284,0.0005,1614.3858096599579
17,1.3957817875031744,1.6774004929040018,5.683149193272446,6.1500676761973985,0.0005,1662.8739223480225
18,1.3864265658086357,1.6609471927691053,5.647737658385075,6.124788999557495,0.0005,1725.8406190872192
