epoch,step,train/cardinality_error,train/cardinality_error_0,train/cardinality_error_enc,train/class_error,train/loss,train/loss_bbox,train/loss_bbox_aux,train/loss_ce,train/loss_ce_aux,train/loss_giou,train/loss_giou_aux,train/lr,train/lr_max,train/lr_min,val/F1,val/ema_mAP_50,val/ema_mAP_50_95,val/ema_mAP_75,val/ema_mAR,val/mAP_50,val/mAP_50_95,val/mAP_75,val/mAR,val/precision,val/recall
0,17,,,,,,,,,,,,,,,0.00021691973961424083,1.1070805157942232e-05,1.1070804930568556e-06,0.0,0.0024999999441206455,1.1070805157942232e-05,1.1070804930568556e-06,0.0,0.0024999999441206455,0.00010893246508203447,0.02500000037252903
0,17,3.8333332538604736,3.8333332538604736,3.8333332538604736,78.37171936035156,8.541330337524414,0.09471309930086136,0.19782572984695435,0.26933228969573975,0.5415555238723755,1.0386862754821777,2.0951883792877197,,,,,,,,,,,,,,
1,35,,,,,,,,,,,,,,,0.00031347962794825435,1.117913780035451e-05,1.1179138255101861e-06,0.0,0.0024999999441206455,1.117913780035451e-05,1.1179138255101861e-06,0.0,0.0024999999441206455,0.00015772870392538607,0.02500000037252903
1,35,4.041666507720947,4.041666507720947,4.041666507720947,77.55912780761719,7.6465606689453125,0.059269826859235764,0.13297024369239807,0.4256652295589447,0.8397108316421509,0.9071945548057556,1.802797794342041,,,,,,,,,,,,,,
2,49,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,
2,53,,,,,,,,,,,,,,,0.0002983293670695275,4.5306542233447544e-06,4.530654393875011e-07,0.0,0.0011111111380159855,4.5306542233447544e-06,4.530654393875011e-07,0.0,0.0011111111380159855,0.00015119444287847728,0.011111111380159855
2,53,3.9166667461395264,3.9166667461395264,3.9166667461395264,48.38194274902344,7.57118034362793,0.05234150588512421,0.12086085230112076,0.491706520318985,0.9376057386398315,0.8763935565948486,1.7615349292755127,,,,,,,,,,,,,,
3,71,,,,,,,,,,,,,,,0.0009865176398307085,0.0001186242006951943,2.831781057466287e-05,0.0,0.006666666828095913,0.0001186242006951943,2.831781057466287e-05,0.0,0.006666666828095913,0.0005006675492040813,0.03333333507180214
3,71,4.05555534362793,4.05555534362793,4.05555534362793,32.728939056396484,7.605527400970459,0.053599029779434204,0.1184566542506218,0.5041313767433167,0.9630504250526428,0.8870551586151123,1.7519783973693848,,,,,,,,,,,,,,
4,89,,,,,,,,,,,,,,,0.008333333767950535,0.0006708553992211819,0.00010018722241511568,0.0,0.012500000186264515,0.0006708553992211819,0.00010018722241511568,0.0,0.012500000186264515,0.0051282052882015705,0.02222222276031971
4,89,4.027777671813965,4.027777671813965,4.027777671813965,29.146541595458984,7.635223388671875,0.058752886950969696,0.11668578535318375,0.5100885629653931,1.012506365776062,0.8713492155075073,1.7463679313659668,,,,,,,,,,,,,,
5,99,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,
5,107,,,,,,,,,,,,,,,0.0044843051582574844,0.00034622749080881476,9.700335067464039e-05,1.6055659216362983e-05,0.013333333656191826,0.00034622749080881476,9.700335067464039e-05,1.6055659216362983e-05,0.013333333656191826,0.002808988792821765,0.011111111380159855
5,107,4.05555534362793,4.05555534362793,4.05555534362793,31.302894592285156,7.5649285316467285,0.054315146058797836,0.10791756957769394,0.578164279460907,1.10789155960083,0.8270403146743774,1.7068146467208862,,,,,,,,,,,,,,
6,125,,,,,,,,,,,,,,,0.0601612888276577,0.0147941829636693,0.00488043250516057,0.006435643415898085,0.03500000014901161,0.0147941829636693,0.00488043250516057,0.006435643415898085,0.03500000014901161,0.11231526732444763,0.08055555820465088
6,125,4.05555534362793,4.05555534362793,4.05555534362793,22.984886169433594,7.544342041015625,0.057639725506305695,0.12149558961391449,0.5261020660400391,1.0379294157028198,0.8441059589385986,1.6982111930847168,,,,,,,,,,,,,,
7,143,,,,,,,,,,,,,,,0.010033444501459599,0.0005798750789836049,9.313736518379301e-05,0.0,0.009999999776482582,0.0005798750789836049,9.313736518379301e-05,0.0,0.009999999776482582,0.005905511789023876,0.03333333507180214
7,143,4.0,4.0,4.0,30.95478630065918,7.4582390785217285,0.05250374972820282,0.10887686163187027,0.5750229358673096,1.122857928276062,0.819869339466095,1.656857967376709,,,,,,,,,,,,,,
8,149,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,
8,161,,,,,,,,,,,,,,,0.06050665304064751,0.024768495932221413,0.00690005486831069,0.0042432816699147224,0.04194444417953491,0.024768495932221413,0.00690005486831069,0.0042432816699147224,0.04194444417953491,0.06439393758773804,0.08055555820465088
8,161,4.05555534362793,4.05555534362793,4.05555534362793,23.852806091308594,7.265633583068848,0.04421620070934296,0.09057532250881195,0.6239694952964783,1.2325838804244995,0.7844763994216919,1.5830848217010498,,,,,,,,,,,,,,
9,179,,,,,,,,,,,,,,,0.019027484580874443,0.0029637457337230444,0.00043893628753721714,0.0,0.010555555112659931,0.0029637457337230444,0.00043893628753721714,0.0,0.010555555112659931,0.012927178293466568,0.05833333358168602
9,179,3.9166667461395264,3.9166667461395264,3.9166667461395264,29.43617057800293,7.418673038482666,0.050981149077415466,0.1071932464838028,0.5627543926239014,1.1014736890792847,0.8187668323516846,1.6630202531814575,,,,,,,,,,,,,,
10,197,,,,,,,,,,,,,,,0.020202020183205605,0.0017966859741136432,0.00023001260706223547,0.0,0.012222222052514553,0.0017966859741136432,0.00023001260706223547,0.0,0.012222222052514553,0.018518518656492233,0.02222222276031971
10,197,4.05555534362793,4.05555534362793,4.05555534362793,27.199981689453125,7.403722763061523,0.05004674196243286,0.10506853461265564,0.5945314764976501,1.1514239311218262,0.8078080415725708,1.6332874298095703,,,,,,,,,,,,,,
11,199,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,
11,215,,,,,,,,,,,,,,,0.029411764815449715,0.0042222230695188046,0.001735612633638084,0.0012437658151611686,0.030833333730697632,0.0042222230695188046,0.001735612633638084,0.0012437658151611686,0.030833333730697632,0.02631578966975212,0.03333333507180214
11,215,4.041666507720947,4.041666507720947,4.041666507720947,28.451974868774414,7.436714172363281,0.04955467954277992,0.10549191385507584,0.6051281094551086,1.161311149597168,0.7994396090507507,1.6480811834335327,,,,,,,,,,,,,,
12,233,,,,,,,,,,,,,,,0.025641025975346565,0.006016230676323175,0.001992088044062257,0.0007183908019214869,0.03166666626930237,0.006016230676323175,0.001992088044062257,0.0007183908019214869,0.03166666626930237,0.03030303120613098,0.02222222276031971
12,233,3.930555582046509,3.930555582046509,3.930555582046509,26.61540985107422,7.33306884765625,0.04471573606133461,0.0947551503777504,0.589885950088501,1.1291707754135132,0.8023762106895447,1.6559529304504395,,,,,,,,,,,,,,
13,249,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,
13,251,,,,,,,,,,,,,,,0.02090967260301113,0.0025120896752923727,0.0004764604673255235,0.0,0.015833333134651184,0.0025120896752923727,0.0004764604673255235,0.0,0.015833333134651184,0.014020825736224651,0.05833333358168602
13,251,4.05555534362793,4.05555534362793,4.05555534362793,24.23551368713379,7.262565612792969,0.04353674128651619,0.0892101600766182,0.6338776350021362,1.23477303981781,0.7763550281524658,1.5887349843978882,,,,,,,,,,,,,,
14,269,,,,,,,,,,,,,,,0.016393441706895828,0.00198175641708076,0.0003311799082439393,0.0,0.010833333246409893,0.00198175641708076,0.0003311799082439393,0.0,0.010833333246409893,0.03125,0.011111111380159855
14,269,3.847222328186035,3.847222328186035,3.847222328186035,36.39528274536133,7.390946388244629,0.0450705923140049,0.10276015847921371,0.6024878025054932,1.1657483577728271,0.8021856546401978,1.6395926475524902,,,,,,,,,,,,,,
15,287,,,,,,,,,,,,,,,0.000851788732688874,1.316621001024032e-05,9.216347280016635e-06,1.316621001024032e-05,0.007777777966111898,1.316621001024032e-05,9.216347280016635e-06,1.316621001024032e-05,0.007777777966111898,0.00044286978663876653,0.011111111380159855
15,287,3.9583332538604736,3.9583332538604736,3.9583332538604736,26.41900062561035,7.285336017608643,0.04672336205840111,0.08980615437030792,0.5990253686904907,1.1873953342437744,0.8038482666015625,1.604285717010498,,,,,,,,,,,,,,
16,299,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,
16,305,,,,,,,,,,,,,,,0.0011641443707048893,2.1555129933403805e-05,2.1555131297645858e-06,0.0,0.0011111111380159855,2.1555129933403805e-05,2.1555131297645858e-06,0.0,0.0011111111380159855,0.0006142506026662886,0.011111111380159855
16,305,4.027777671813965,4.027777671813965,4.027777671813965,29.02781867980957,7.094851016998291,0.042686834931373596,0.08749312907457352,0.6220711469650269,1.2815526723861694,0.777010440826416,1.4931530952453613,,,,,,,,,,,,,,
17,323,,,,,,,,,,,,,,,0.0034467768855392933,0.00019381445599719882,3.889391155098565e-05,2.158646020689048e-05,0.02222222276031971,0.00019381445599719882,3.889391155098565e-05,2.158646020689048e-05,0.02222222276031971,0.0017890577437356114,0.04722222313284874
17,323,4.05555534362793,4.05555534362793,4.05555534362793,25.926395416259766,7.097268581390381,0.040448158979415894,0.08004379272460938,0.6262003183364868,1.2479976415634155,0.7698081135749817,1.5404974222183228,,,,,,,,,,,,,,
18,341,,,,,,,,,,,,,,,0.01123595517128706,0.0012032585218548775,0.0003415265819057822,0.0,0.024722222238779068,0.0012032585218548775,0.0003415265819057822,0.0,0.024722222238779068,0.007518797181546688,0.02222222276031971
18,341,4.05555534362793,4.05555534362793,4.05555534362793,29.96561050415039,7.29143762588501,0.047574788331985474,0.09382712095975876,0.6343256235122681,1.2392104864120483,0.7704758644104004,1.584970235824585,,,,,,,,,,,,,,
19,349,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,
19,359,,,,,,,,,,,,,,,0.02500000037252903,0.003357210196554661,0.0005464379210025072,0.0,0.017500000074505806,0.003357210196554661,0.0005464379210025072,0.0,0.017500000074505806,0.019999999552965164,0.03333333507180214
19,359,4.0,4.0,4.0,29.226980209350586,7.1945953369140625,0.043315306305885315,0.08940839767456055,0.6391680240631104,1.209251880645752,0.76511549949646,1.5761628150939941,,,,,,,,,,,,,,
20,377,,,,,,,,,,,,,,,0.02461099810898304,0.007286881562322378,0.0015362172853201628,0.0,0.019722221419215202,0.007286881562322378,0.0015362172853201628,0.0,0.019722221419215202,0.017352284863591194,0.0694444477558136
20,377,3.847222328186035,3.847222328186035,3.847222328186035,26.093538284301758,7.16815710067749,0.0428081676363945,0.09141218662261963,0.6359351873397827,1.2217459678649902,0.7585577964782715,1.5611292123794556,,,,,,,,,,,,,,
21,395,,,,,,,,,,,,,,,0.045847609639167786,0.010738429613411427,0.0025849491357803345,0.0,0.016944443807005882,0.010738429613411427,0.0025849491357803345,0.0,0.016944443807005882,0.07692307978868484,0.04722222313284874
21,395,4.027777671813965,4.027777671813965,4.027777671813965,30.245731353759766,7.323433876037598,0.048061564564704895,0.0975622907280922,0.6218435764312744,1.2420026063919067,0.7919702529907227,1.5737639665603638,,,,,,,,,,,,,,
22,399,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,
22,413,,,,,,,,,,,,,,,0.045074883848428726,0.012490947730839252,0.004043873865157366,0.0,0.02638888917863369,0.012490947730839252,0.004043873865157366,0.0,0.02638888917863369,0.05038759857416153,0.05833333358168602
22,413,3.8333332538604736,3.8333332538604736,3.8333332538604736,27.032880783081055,7.147435665130615,0.04287968575954437,0.08817930519580841,0.6191466450691223,1.2136993408203125,0.7664967179298401,1.563150405883789,,,,,,,,,,,,,,
23,431,,,,,,,,,,,,,,,0.04351888969540596,0.012375539168715477,0.005967903416603804,0.0,0.030277777463197708,0.012375539168715477,0.005967903416603804,0.0,0.030277777463197708,0.04670329764485359,0.05833333358168602
23,431,4.05555534362793,4.05555534362793,4.05555534362793,19.857114791870117,7.310253620147705,0.046723783016204834,0.09554467350244522,0.6101410388946533,1.2089428901672363,0.7938172221183777,1.5960962772369385,,,,,,,,,,,,,,
24,449,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,
24,449,,,,,,,,,,,,,,,0.040906015783548355,0.009323145262897015,0.004854934755712748,0.005940594244748354,0.027222221717238426,0.009323145262897015,0.004854934755712748,0.005940594244748354,0.027222221717238426,0.042658731341362,0.05833333358168602
