Folder,filename,QR-Code,Plotnr,R4Snr,Genotyp,row,col,Score_JLU,Score_GAU,diff,source_csv,Score,mean_score,disagreement,is_high_quality,extracted_date,extracted_bbch,image_path,file_exists,plot_group
2025_10_21_RSFB-Phenotyping_GG1_JLU,20251021_120858.jpg,1_Smaragd_1_1,1.0,,Smaragd,1.0,1.0,10.0,10.5,0.5,2025_10_21_RSFB-Phenotyping_GG1_scores.csv,,10.25,0.5,True,,Unknown,../dataset/Pictures_CFSB_leaf_damage/2025_10_21_RSFB-Phenotyping_GG1_JLU/2025_10_21_RSFB-Phenotyping_GG1_JLU/20251021_120858.jpg,True,1_Smaragd_1_1
2025_10_21_RSFB-Phenotyping_GG1_JLU,20251021_120905.jpg,1_Smaragd_1_1,1.0,,Smaragd,1.0,1.0,13.0,16.5,3.5,2025_10_21_RSFB-Phenotyping_GG1_scores.csv,,14.75,3.5,True,,Unknown,../dataset/Pictures_CFSB_leaf_damage/2025_10_21_RSFB-Phenotyping_GG1_JLU/2025_10_21_RSFB-Phenotyping_GG1_JLU/20251021_120905.jpg,True,1_Smaragd_1_1
2025_10_21_RSFB-Phenotyping_GG1_JLU,20251021_120912.jpg,1_Smaragd_1_1,1.0,,Smaragd,1.0,1.0,9.0,6.5,2.5,2025_10_21_RSFB-Phenotyping_GG1_scores.csv,,7.75,2.5,True,,Unknown,../dataset/Pictures_CFSB_leaf_damage/2025_10_21_RSFB-Phenotyping_GG1_JLU/2025_10_21_RSFB-Phenotyping_GG1_JLU/20251021_120912.jpg,True,1_Smaragd_1_1
2025_10_21_RSFB-Phenotyping_GG1_JLU,20251021_120926.jpg,12_R4S_470_A4C34_2_1,12.0,470.0,A4C34,2.0,1.0,23.0,19.5,3.5,2025_10_21_RSFB-Phenotyping_GG1_scores.csv,,21.25,3.5,True,,Unknown,../dataset/Pictures_CFSB_leaf_damage/2025_10_21_RSFB-Phenotyping_GG1_JLU/2025_10_21_RSFB-Phenotyping_GG1_JLU/20251021_120926.jpg,True,12_R4S_470_A4C34_2_1
2025_10_21_RSFB-Phenotyping_GG1_JLU,20251021_120933.jpg,12_R4S_470_A4C34_2_1,12.0,470.0,A4C34,2.0,1.0,20.0,21.5,1.5,2025_10_21_RSFB-Phenotyping_GG1_scores.csv,,20.75,1.5,True,,Unknown,../dataset/Pictures_CFSB_leaf_damage/2025_10_21_RSFB-Phenotyping_GG1_JLU/2025_10_21_RSFB-Phenotyping_GG1_JLU/20251021_120933.jpg,True,12_R4S_470_A4C34_2_1
2025_10_21_RSFB-Phenotyping_GG1_JLU,20251021_120939.jpg,12_R4S_470_A4C34_2_1,12.0,470.0,A4C34,2.0,1.0,20.0,20.5,0.5,2025_10_21_RSFB-Phenotyping_GG1_scores.csv,,20.25,0.5,True,,Unknown,../dataset/Pictures_CFSB_leaf_damage/2025_10_21_RSFB-Phenotyping_GG1_JLU/2025_10_21_RSFB-Phenotyping_GG1_JLU/20251021_120939.jpg,True,12_R4S_470_A4C34_2_1
2025_10_21_RSFB-Phenotyping_GG1_JLU,20251021_121011.jpg,13_R4S_212_Askari_3_1,13.0,212.0,Askari,3.0,1.0,16.0,14.0,2.0,2025_10_21_RSFB-Phenotyping_GG1_scores.csv,,15.0,2.0,True,,Unknown,../dataset/Pictures_CFSB_leaf_damage/2025_10_21_RSFB-Phenotyping_GG1_JLU/2025_10_21_RSFB-Phenotyping_GG1_JLU/20251021_121011.jpg,True,13_R4S_212_Askari_3_1
2025_10_21_RSFB-Phenotyping_GG1_JLU,20251021_121034.jpg,13_R4S_212_Askari_3_1,13.0,212.0,Askari,3.0,1.0,19.0,16.0,3.0,2025_10_21_RSFB-Phenotyping_GG1_scores.csv,,17.5,3.0,True,,Unknown,../dataset/Pictures_CFSB_leaf_damage/2025_10_21_RSFB-Phenotyping_GG1_JLU/2025_10_21_RSFB-Phenotyping_GG1_JLU/20251021_121034.jpg,True,13_R4S_212_Askari_3_1
2025_10_21_RSFB-Phenotyping_GG1_JLU,20251021_121047.jpg,24_R4S_291_Wolynski_4_1,24.0,291.0,Wolynski,4.0,1.0,20.0,20.5,0.5,2025_10_21_RSFB-Phenotyping_GG1_scores.csv,,20.25,0.5,True,,Unknown,../dataset/Pictures_CFSB_leaf_damage/2025_10_21_RSFB-Phenotyping_GG1_JLU/2025_10_21_RSFB-Phenotyping_GG1_JLU/20251021_121047.jpg,True,24_R4S_291_Wolynski_4_1
2025_10_21_RSFB-Phenotyping_GG1_JLU,20251021_121053.jpg,24_R4S_291_Wolynski_4_1,24.0,291.0,Wolynski,4.0,1.0,21.0,26.5,5.5,2025_10_21_RSFB-Phenotyping_GG1_scores.csv,,23.75,5.5,False,,Unknown,../dataset/Pictures_CFSB_leaf_damage/2025_10_21_RSFB-Phenotyping_GG1_JLU/2025_10_21_RSFB-Phenotyping_GG1_JLU/20251021_121053.jpg,True,24_R4S_291_Wolynski_4_1
2025_10_21_RSFB-Phenotyping_GG1_JLU,20251021_121100.jpg,24_R4S_291_Wolynski_4_1,24.0,291.0,Wolynski,4.0,1.0,20.0,19.0,1.0,2025_10_21_RSFB-Phenotyping_GG1_scores.csv,,19.5,1.0,True,,Unknown,../dataset/Pictures_CFSB_leaf_damage/2025_10_21_RSFB-Phenotyping_GG1_JLU/2025_10_21_RSFB-Phenotyping_GG1_JLU/20251021_121100.jpg,True,24_R4S_291_Wolynski_4_1
2025_10_21_RSFB-Phenotyping_GG1_JLU,20251021_121113.jpg,25_R4S_387_Lirafit_5_1,25.0,387.0,Lirafit,5.0,1.0,2.0,10.0,8.0,2025_10_21_RSFB-Phenotyping_GG1_scores.csv,,6.0,8.0,False,,Unknown,../dataset/Pictures_CFSB_leaf_damage/2025_10_21_RSFB-Phenotyping_GG1_JLU/2025_10_21_RSFB-Phenotyping_GG1_JLU/20251021_121113.jpg,True,25_R4S_387_Lirafit_5_1
2025_10_21_RSFB-Phenotyping_GG1_JLU,20251021_121120.jpg,25_R4S_387_Lirafit_5_1,25.0,387.0,Lirafit,5.0,1.0,9.0,14.0,5.0,2025_10_21_RSFB-Phenotyping_GG1_scores.csv,,11.5,5.0,False,,Unknown,../dataset/Pictures_CFSB_leaf_damage/2025_10_21_RSFB-Phenotyping_GG1_JLU/2025_10_21_RSFB-Phenotyping_GG1_JLU/20251021_121120.jpg,True,25_R4S_387_Lirafit_5_1
2025_10_21_RSFB-Phenotyping_GG1_JLU,20251021_121126.jpg,25_R4S_387_Lirafit_5_1,25.0,387.0,Lirafit,5.0,1.0,2.0,14.5,12.5,2025_10_21_RSFB-Phenotyping_GG1_scores.csv,,8.25,12.5,False,,Unknown,../dataset/Pictures_CFSB_leaf_damage/2025_10_21_RSFB-Phenotyping_GG1_JLU/2025_10_21_RSFB-Phenotyping_GG1_JLU/20251021_121126.jpg,True,25_R4S_387_Lirafit_5_1
2025_10_21_RSFB-Phenotyping_GG1_JLU,20251021_121142.jpg,36_R4S_433_SEM_6_1,36.0,433.0,SEM,6.0,1.0,6.0,21.0,15.0,2025_10_21_RSFB-Phenotyping_GG1_scores.csv,,13.5,15.0,False,,Unknown,../dataset/Pictures_CFSB_leaf_damage/2025_10_21_RSFB-Phenotyping_GG1_JLU/2025_10_21_RSFB-Phenotyping_GG1_JLU/20251021_121142.jpg,True,36_R4S_433_SEM_6_1
