resistance_rank,plot_group,avg_pred_damage,avg_true_damage,image_count,genotype,location,experiment,split
1,294_R4S_228_Orlando_49_6,1.1501739025115967,1.5,1,Orlando,Gross-Gerau,Insects,val
2,262_R4S_234_Yephir_44_3,1.2650270462036133,0.5,1,Yephir,Gross-Gerau,Insects,train
3,279_R4S_542_Smaragd_47_3,1.380180835723877,2.25,1,Smaragd,Gross-Gerau,Insects,train
4,115_R4S_514_R31_20_6,1.3848220109939575,4.75,1,R31,Gross-Gerau,Insects,train
5,43_R4S_326_Tipperarz *Magnificent(_8_6,1.7466233968734741,1.75,3,Tipperarz *Magnificent(,Gross-Gerau,Insects,train
6,7_R4S_318_SENSATION NY_2_6,1.7827946345011394,2.0666666825612388,3,SENSATION NY,Gross-Gerau,Insects,val
7,199_R4S_388_Liporta_34_6,1.8198681672414143,1.6666666666666667,3,Liporta,Gross-Gerau,Insects,train
8,58_R4S_207_Phil_10_3,1.8652312755584717,4.875,2,Phil,Gross-Gerau,Insects,val
9,109_R4S_187_AMBER X COMMANCHE DH LINE_19_1,1.8777605295181274,1.75,1,AMBER X COMMANCHE DH LINE,Gross-Gerau,Insects,val
10,93_R4S_502_LG Aviron_16_4,1.8857316970825195,2.125,2,LG Aviron,Gross-Gerau,Insects,train
11,54_R4S_543_Smaragd_9_6,1.8873593211174011,3.25,2,Smaragd,Gross-Gerau,Insects,train
12,91_R4S_505_Express 617_16_6,1.8988484144210815,1.25,2,Express 617,Gross-Gerau,Insects,val
13,211_R4S_359_SIBERISCHE BOERENKOOL_36_6,1.9057181278864543,1.650000015894572,3,SIBERISCHE BOERENKOOL,Gross-Gerau,Insects,train
14,121_R4S_147_Picasso_21_1,1.9958544969558716,1.5,1,Picasso,Gross-Gerau,Insects,train
15,18_R4S_286_Ramses_3_6,2.0258731842041016,2.25,2,Ramses,Gross-Gerau,Insects,train
16,218_R4S_498_R4S_NPY2_37_2,2.0486035346984863,2.25,1,R4S_NPY2,Gross-Gerau,Insects,train
17,223_RAS_320_Best of All_38_6,2.095354994138082,1.3000000317891438,3,RAS_320_Best of All,Gross-Gerau,Insects,train
18,312_Smaragd_52_1,2.110381603240967,4.25,1,Smaragd,Gross-Gerau,Insects,train
19,187_R4S_492_FELICIANO KWS_32_6,2.12359619140625,3.0,1,FELICIANO KWS,Gross-Gerau,Insects,test
20,266_R4S_335_Dalo Trifolium_45_2,2.1614885330200195,2.125,2,Dalo Trifolium,Gross-Gerau,Insects,train
21,307_Smaragd_52_6,2.1913686990737915,3.25,2,Smaragd,Gross-Gerau,Insects,train
22,5_Smaragd_1_5,2.209102749824524,1.25,2,Smaragd,Gross-Gerau,Insects,train
23,134_R4S_345_Bangholm PT_23_2,2.2581543922424316,0.9833333094914755,3,Bangholm PT,Gross-Gerau,Insects,test
24,10_R4S_325_Tankard Bronye Top_2_3,2.2660884857177734,14.75,1,Tankard Bronye Top,Gross-Gerau,Insects,train
25,119_R4S_391_Jantar_20_2,2.3001659214496613,1.5,2,Jantar,Gross-Gerau,Insects,train
26,15_R4S_150_Montego_3_3,2.339035749435425,2.0,1,Montego,Gross-Gerau,Insects,train
27,212_R4S_274_Guelyower Oelquell_36_5,2.3417632579803467,2.5,1,Guelyower Oelquell,Gross-Gerau,Insects,train
28,215_R4S_458_FS94.3_36_2,2.3563990592956543,6.0,1,FS94.3,Gross-Gerau,Insects,train
29,270_R4S_232_Beluga_45_6,2.3711161613464355,2.75,1,Beluga,Gross-Gerau,Insects,train
30,282_R4S_332_Hollandse Gele Roodkop_47_6,2.3848752975463867,10.25,2,Hollandse Gele Roodkop,Gross-Gerau,Insects,train
31,188_R4S_322_Essex Model_32_5,2.3905718326568604,0.5,1,Essex Model,Gross-Gerau,Insects,train
32,79_R4S_312_TAIWAN_14_6,2.3953428665796914,1.9166666666666667,3,TAIWAN,Gross-Gerau,Insects,train
33,234_R4S_447_K306_39_6,2.404533863067627,2.0,1,K306,Gross-Gerau,Insects,test
34,6_Smaragd_1_6,2.427043914794922,3.75,3,Smaragd,Gross-Gerau,Insects,train
35,26_R4S_494_DSV1_5_2,2.4321680068969727,4.5,1,DSV1,Gross-Gerau,Insects,val
36,176_R4S_164_Fortis_30_5,2.4401180744171143,0.75,1,Fortis,Gross-Gerau,Insects,train
37,131_R4S_373_25629/3_22_2,2.4665069580078125,3.25,2,25629/3,Gross-Gerau,Insects,train
38,169_R4S_149_Rapid_29_1,2.5288403034210205,1.75,1,Rapid,Gross-Gerau,Insects,val
39,308_Smaragd_52_5,2.5668468475341797,2.25,1,Smaragd,Gross-Gerau,Insects,test
40,197_R4S_371_MOANA MOANA RAPE_33_5,2.596404552459717,2.25,1,MOANA MOANA RAPE,Gross-Gerau,Insects,train
41,74_R4S_197_Samourai_13_2,2.603721857070923,1.5,2,Samourai,Gross-Gerau,Insects,test
42,171_R4S_534_WINFRED_29_3,2.632119297981262,1.75,2,WINFRED,Gross-Gerau,Insects,train
43,200_R4S_313_FORTIN FAMILZ_34_5,2.6456143856048584,5.75,1,FORTIN FAMILZ,Gross-Gerau,Insects,train
44,136_R4S_500_LG Atlas_23_4,2.653887927532196,2.175000011920929,2,LG Atlas,Gross-Gerau,Insects,train
45,114_R4S_424_R18_19_6,2.6666576862335205,1.75,2,R18,Gross-Gerau,Insects,train
46,243_R4S_515_R31_41_3,2.668902277946472,3.625,2,R31,Gross-Gerau,Insects,train
47,78_R4S_205_RESZN/H048_13_6,2.735231876373291,7.0,1,RESZN/H048,Gross-Gerau,Insects,train
48,165_R4S_346_Angus_28_4,2.7485746145248413,2.625,2,Angus,Gross-Gerau,Insects,train
49,87_R4S_256_Ladoga_15_3,2.8100754419962564,4.166666666666667,3,Ladoga,Gross-Gerau,Insects,train
50,161_R4S_247_Madrigal_27_5,2.8160854975382485,4.833333333333333,3,Madrigal,Gross-Gerau,Insects,train
51,217_R4S_552_ALLESANDRO KWS_37_1,2.8430335521698,12.25,1,ALLESANDRO KWS,Gross-Gerau,Insects,train
52,30_R4S_236_Baros_5_6,2.8432637453079224,1.75,2,Baros,Gross-Gerau,Insects,train
53,158_R4S_231_Campari_27_2,2.8570433457692466,3.4166666666666665,3,Campari,Gross-Gerau,Insects,train
54,71_R4S_169_Tenor_12_2,2.872496545314789,3.0,2,Tenor,Gross-Gerau,Insects,train
55,42_R4S_170_Kvintett_7_6,2.873611052831014,2.75,3,Kvintett,Gross-Gerau,Insects,train
56,21_R4S_278_Libritta_4_4,2.8856948614120483,2.5,3,Libritta,Gross-Gerau,Insects,train
57,125_R4S_144_Adder_21_5,2.8948704401652017,6.083333333333333,3,Adder,Gross-Gerau,Insects,test
58,106_R4S_483_OLL 1_18_3,2.9195191860198975,4.0,2,OLL 1,Gross-Gerau,Insects,test
59,163_R4S_525_Taisetsu_28_6,2.9324965476989746,3.5,1,Taisetsu,Gross-Gerau,Insects,train
60,272_R4S_533_WINFRED_46_5,2.937342564264933,2.25,3,WINFRED,Gross-Gerau,Insects,train
61,56_R4S_501_LG Avenger_10_5,3.096425414085388,2.75,2,LG Avenger,Gross-Gerau,Insects,train
62,227_R4S_506_Express 617_38_2,3.139169931411743,3.25,1,Express 617,Gross-Gerau,Insects,train
63,235_R4S_193_LICROWN X EXPRESS DH LINE_40_6,3.1495927572250366,3.25,2,LICROWN X EXPRESS DH LINE,Gross-Gerau,Insects,train
64,247_R4S_456_S17_42_6,3.2137272357940674,3.0,1,S17,Gross-Gerau,Insects,val
65,50_R4S_204_Leopard_9_2,3.2138290405273438,4.125,2,Leopard,Gross-Gerau,Insects,test
66,82_R4S_355_RAPID CZCLING RAPE *CrGC5(_14_3,3.2222936153411865,5.833333333333333,3,RAPID CZCLING RAPE *CrGC5(,Gross-Gerau,Insects,test
67,238_R4S_162_Recital_40_3,3.247486114501953,9.75,1,Recital,Gross-Gerau,Insects,train
68,51_R4S_319_Altasweet_9_3,3.331355929374695,4.5,2,Altasweet,Gross-Gerau,Insects,train
69,2_Smaragd_1_2,3.33833509683609,3.375,2,Smaragd,Gross-Gerau,Insects,train
70,3_Smaragd_1_3,3.347022771835327,3.875,2,Smaragd,Gross-Gerau,Insects,train
71,100_R4S_251_Lisabeth_17_4,3.365161657333374,8.0,1,Lisabeth,Gross-Gerau,Insects,test
72,261_R4S_227_Wotan_44_4,3.391412337621053,3.1666666666666665,3,Wotan,Gross-Gerau,Insects,train
73,101_R4S_375_Vinnickij 15&59_17_5,3.4073266983032227,4.625,2,Vinnickij 15&59,Gross-Gerau,Insects,val
74,103_R4S_223_BIENVENU DH4_18_6,3.4458654324213662,3.0833333333333335,3,BIENVENU DH4,Gross-Gerau,Insects,train
75,175_R4S_148_Rodeo_30_6,3.4682756662368774,3.0250000953674316,2,Rodeo,Gross-Gerau,Insects,train
76,269_R4S_235_Nugget_45_5,3.5143231550852456,3.5,3,Nugget,Gross-Gerau,Insects,train
77,41_R4S_294_R53_7_5,3.5331814289093018,7.0,1,R53,Gross-Gerau,Insects,train
78,152_R4S_182_Pollen_26_5,3.5397650003433228,5.875,2,Pollen,Gross-Gerau,Insects,train
79,90_R4S_252_Lirajet_15_6,3.551685333251953,3.0,3,Lirajet,Gross-Gerau,Insects,test
80,154_R4S_457_H31_26_3,3.5631884733835855,4.583333333333333,3,H31,Gross-Gerau,Insects,train
81,63_R4S_300_Michinaku natane_11_3,3.5751559734344482,3.183333396911621,3,Michinaku natane,Gross-Gerau,Insects,test
82,209_R4S_219_Lesira_35_5,3.666684150695801,3.25,2,Lesira,Gross-Gerau,Insects,train
83,4_Smaragd_1_4,3.6952337423960366,11.833333333333334,3,Smaragd,Gross-Gerau,Insects,train
84,20_R4S_199_Maplus_4_5,3.711836020151774,2.5,3,Maplus,Gross-Gerau,Insects,train
85,27_R4S_530_WINFRED_5_3,3.785533308982849,8.75,2,WINFRED,Gross-Gerau,Insects,train
86,99_R4S_317_PIKE_17_3,3.793851375579834,4.0,2,PIKE,Gross-Gerau,Insects,train
87,107_R4S_451_S5_18_2,3.814730167388916,7.0,1,S5,Gross-Gerau,Insects,val
88,166_R4S_495_DSV2_28_3,3.8310706615448,3.5,3,DSV2,Gross-Gerau,Insects,val
89,11_R4S_443_J 104_2_2,3.8455851078033447,9.5,1,J 104,Gross-Gerau,Insects,train
90,157_R4S_225_Barrel_27_1,3.84799325466156,3.125,2,Barrel,Gross-Gerau,Insects,train
91,105_R4S_183_Prince_18_4,3.866804599761963,7.25,2,Prince,Gross-Gerau,Insects,train
92,186_R4S_397_Brink_31_6,3.8996654748916626,3.5,2,Brink,Gross-Gerau,Insects,train
93,252_R4S_471_H61_42_1,3.981358528137207,5.875,2,H61,Gross-Gerau,Insects,train
94,139_R4S_378_Sobotkowski_24_6,3.990455150604248,6.25,1,Sobotkowski,Gross-Gerau,Insects,train
95,117_R4S_159_Lipton_20_4,4.005111455917358,7.25,2,Lipton,Gross-Gerau,Insects,val
96,31_R4S_377_Sonnengold_6_6,4.032302975654602,3.5,2,Sonnengold,Gross-Gerau,Insects,train
97,45_R4S_531_WINFRED_8_4,4.032879829406738,2.5,2,WINFRED,Gross-Gerau,Insects,train
98,292_R4S_485_K29_49_4,4.033760070800781,5.0,1,K29,Gross-Gerau,Insects,train
99,159_R4S_185_NK Passion_27_3,4.072834412256877,3.6666666666666665,3,NK Passion,Gross-Gerau,Insects,train
100,94_R4S_513_R31_16_3,4.194194078445435,5.25,2,R31,Gross-Gerau,Insects,train
101,281_R4S_202_Mohican_47_5,4.264166355133057,7.5,1,Mohican,Gross-Gerau,Insects,train
102,224_R4S_245_Roxet_38_5,4.386175274848938,3.75,2,Roxet,Gross-Gerau,Insects,train
103,75_R4S_487_S13_13_3,4.425551414489746,7.5,2,S13,Gross-Gerau,Insects,train
104,214_R4S_270_Ceres_36_3,4.485456228256226,5.875,2,Ceres,Gross-Gerau,Insects,train
105,174_R4S_200_Darmor_29_6,4.529658476511638,2.6666666666666665,3,Darmor,Gross-Gerau,Insects,test
106,129_R4S_540_Smaragd_22_4,4.594785690307617,3.825000047683716,2,Smaragd,Gross-Gerau,Insects,train
107,233_R4S_551_ALLESANDRO KWS_39_5,4.631726264953613,2.25,1,ALLESANDRO KWS,Gross-Gerau,Insects,val
108,220_R4S_497_R4S_NPY1_37_4,4.768814563751221,3.875,2,R4S_NPY1,Gross-Gerau,Insects,train
109,271_R4S_171_Falstaff_46_6,4.794128974278768,3.6666666666666665,3,Falstaff,Gross-Gerau,Insects,train
110,222_R4S_293_K26/96_37_6,4.828505754470825,5.625,2,K26/96,Gross-Gerau,Insects,train
111,164_R4S_454_S3_28_5,4.833978891372681,4.875,2,S3,Gross-Gerau,Insects,val
112,311_Smaragd_52_2,4.844386100769043,3.75,3,Smaragd,Gross-Gerau,Insects,val
113,150_R4S_444_1012/98_25_6,4.857885003089905,4.224999904632568,2,1012/98,Gross-Gerau,Insects,train
114,221_R4S_466_L90_37_5,4.883545875549316,3.5,1,L90,Gross-Gerau,Insects,train
115,167_R4S_157_BRISTOL_28_2,4.9040913581848145,3.875,2,BRISTOL,Gross-Gerau,Insects,test
116,16_R4S_459_S14_3_4,4.953579902648926,5.125,2,S14,Gross-Gerau,Insects,train
117,55_R4S_440_R59_10_6,4.970441818237305,4.25,1,R59,Gross-Gerau,Insects,train
118,190_R4S_357_E94197_32_3,4.986255168914795,5.5,2,E94197,Gross-Gerau,Insects,train
