plot_group,avg_pred_damage,avg_true_damage,image_count
303_R4S_301_Parapluie_51_3,0.34519896,24.5,1
116_R4S_452_G56_20_5,1.48549044,7.05,2
294_R4S_228_Orlando_49_6,1.6630481,1.5,1
150_R4S_444_1012/98_25_6,1.8794904000000001,4.225,2
91_R4S_505_Express 617_16_6,1.9627161499999999,1.25,2
157_R4S_225_Barrel_27_1,2.66365265,3.125,2
123_R4S_298_Bladkool_21_3,2.7580813500000003,15.0,2
102_R4S_324_Scotia_17_6,3.0905445,4.5,1
36_R4S_433_SEM_6_1,3.3081108500000003,19.125,2
100_R4S_251_Lisabeth_17_4,3.382218,8.0,1
163_R4S_525_Taisetsu_28_6,3.5079176,3.5,1
197_R4S_371_MOANA MOANA RAPE_33_5,3.6999178,2.25,1
176_R4S_164_Fortis_30_5,3.806789,0.75,1
258_R4S_516_R31_43_6,3.9109951666666665,10.916666666666666,3
75_R4S_487_S13_13_3,4.000267,2.5,1
82_R4S_355_RAPID CZCLING RAPE *CrGC5(_14_3,4.211315533333333,5.833333333333333,3
206_R4S_489_S16_35_2,4.3862179999999995,7.25,2
121_R4S_147_Picasso_21_1,4.6740193,1.5,1
293_R4S_222_HANSEN X GASPARD DH LINE_49_5,5.64992375,11.375,2
227_R4S_506_Express 617_38_2,5.866673,3.25,1
207_R4S_541_Smaragd_35_3,6.3637733333333335,4.666666666666667,3
unknown,6.4382607383498875,7.2177200902934535,443
57_R4S_380_Sarepta_10_4,6.462187,28.0,1
98_R4S_417_H355_17_2,6.5165310000000005,17.75,2
149_R4S_548_ALLESANDRO KWS_25_5,7.059494,10.125,2
174_R4S_200_Darmor_29_6,7.100287833333333,2.6666666666666665,3
30_R4S_236_Baros_5_6,7.474981250000001,1.75,2
200_R4S_313_FORTIN FAMILZ_34_5,7.9094625,5.75,1
224_R4S_245_Roxet_38_5,9.0410614,3.75,2
12_R4S_470_A4C34_2_1,9.041171666666665,20.75,3
182_R4S_268_Anja_31_2,9.0702261,29.375,2
169_R4S_149_Rapid_29_1,9.372915,1.75,1
21_R4S_278_Libritta_4_4,10.264973633333332,2.5,3
86_R4S_343_Drummonds Purple Top_15_2,10.631287,7.875,2
33_R4S_281_Madora_6_4,11.611659,8.0,1
131_R4S_373_25629/3_22_2,12.119618,3.25,2
49_R4S_427_J 154_9_1,13.24597415,11.625,2
62_R4S_539_Smaragd_11_2,13.590696333333334,4.166666666666667,3
65_R4S_490_R8_11_5,13.627146,5.5,1
230_R4S_341_Purple Top_39_2,13.74238,8.25,1
194_R4S_428_S35_33_2,14.564243,8.75,1
108_R4S_242_SWGospel_18_1,14.807155999999999,11.125,2
